topn,dataset,setting,MAC,pvalue
10,IMDB,soft,0.9715349822071196,2.024705778252287e-17
10,RealToxicityPrompts,biased,0.8803257639615775,
10,RealToxicityPrompts,soft,0.9588493127367693,1.0956024733379928e-29
10,RealToxicityPrompts,biased,0.8987742669514341,
10,RealToxicityPrompts,soft,0.9602465466221398,3.3272463055405056e-27
10,RealToxicityPrompts,biased,0.8958722973158953,
10,RealToxicityPrompts,soft,0.9661540876209563,7.590346722977999e-29
10,RealToxicityPrompts,biased,0.8928685923793058,
10,RealToxicityPrompts,soft,0.9581045353406827,6.528769857597953e-27
10,XSum,biased,0.8992691884122367,
10,XSum,soft,0.9578244804159011,3.901931372485565e-20
10,XSum,biased,0.9188324625612762,
10,XSum,soft,0.9611177922741535,7.281309460820667e-21
10,XSum,biased,0.9146436013651871,
10,XSum,soft,0.9753195396877329,2.1232163247909662e-27
10,XSum,biased,0.9123588658233519,
10,XSum,soft,0.9727302446363126,2.5349622201035467e-22
10,CNN,biased,0.8842501469022772,
10,CNN,soft,0.9630739527249206,3.2813803615799074e-28
10,CNN,biased,0.9104002285549072,
10,CNN,soft,0.9772798570412043,1.8721751322648043e-31
10,CNN,biased,0.9031501746299038,
10,CNN,soft,0.9662184802886716,1.8759178749548098e-28
10,CNN,biased,0.9034192255654011,
10,CNN,soft,0.9684929608611302,1.104335362653241e-28
3,IMDB,biased,0.8900595993687674,
3,IMDB,soft,0.9536484223199346,1.3151085568156055e-16
3,IMDB,biased,0.901257733538688,
3,IMDB,soft,0.9457190798367682,1.6476616014760763e-18
3,IMDB,biased,0.9149367410800133,
3,IMDB,soft,0.9679292602247662,6.668307722640773e-20
3,IMDB,biased,0.9016028924382555,
3,IMDB,soft,0.9597935115080839,2.580809545255799e-17
3,IMDB,biased,0.8900595993687674,
3,IMDB,soft,0.960865959248118,1.4945995180096726e-24
3,IMDB,biased,0.901257733538688,
3,IMDB,soft,0.9595743940411058,2.9822259433435114e-23
3,IMDB,biased,0.9149367410800133,
3,IMDB,soft,0.9719233482076302,2.9197394026953143e-21
3,IMDB,biased,0.9016028924382555,
3,IMDB,soft,0.9578183230449586,7.26609300989571e-15
3,RealToxicityPrompts,biased,0.8878900045604967,
3,RealToxicityPrompts,soft,0.9649494328094234,8.472766504812288e-33
3,IMDB,biased,0.8900595993687674,
3,IMDB,soft,0.951893676365784,4.0645610121466935e-17
3,IMDB,biased,0.901257733538688,
3,IMDB,soft,0.9638157876215342,3.878946225626998e-25
3,IMDB,biased,0.9149367410800133,
3,IMDB,soft,0.9713405409392529,1.0619465560889934e-21
3,IMDB,biased,0.9016028924382555,
3,IMDB,soft,0.9504913261320469,1.2033476085766241e-14
3,RealToxicityPrompts,biased,0.8878900045604967,
3,RealToxicityPrompts,soft,0.9631731910547718,1.2000100595210107e-31
3,RealToxicityPrompts,biased,0.9025247701885021,
3,RealToxicityPrompts,soft,0.9582347306402764,2.850393699966142e-26
3,RealToxicityPrompts,biased,0.9000576685093871,
3,RealToxicityPrompts,soft,0.9681964439524915,5.874548821674197e-28
3,RealToxicityPrompts,biased,0.8971446903550617,
3,RealToxicityPrompts,soft,0.9655764560055429,1.5127499387417965e-24
3,XSum,biased,0.8750806129874681,
3,XSum,soft,0.9485375271827449,2.6873652269865703e-33
3,XSum,biased,0.9076376553551742,
3,XSum,soft,0.9672861307672255,1.747021168470127e-27
3,XSum,biased,0.9007759194805842,
3,XSum,soft,0.965679101214788,3.850226467040372e-28
3,XSum,biased,0.9016108065437457,
3,XSum,soft,0.9535861215535532,3.6653044377205587e-22
3,CNN,biased,0.9052486989800619,
3,CNN,soft,0.9688609926978405,5.911187764443994e-19
3,CNN,biased,0.9189299155442162,
3,CNN,soft,0.9794828953610233,1.0641758849871443e-25
3,CNN,biased,0.9145399754345223,
3,CNN,soft,0.9720100861899055,6.105576993432185e-23
3,CNN,biased,0.9139465205732236,
3,CNN,soft,0.9636587971511918,5.652639192170774e-17
5,IMDB,biased,0.8924449925851322,
5,IMDB,soft,0.942864795061989,5.24124303256634e-10
5,IMDB,biased,0.913801116215085,
5,IMDB,soft,0.9752078665062205,1.5036292355732414e-20
5,IMDB,biased,0.9201921614416071,
5,IMDB,soft,0.9645178681024884,3.1387093414261e-17
5,IMDB,biased,0.9045366452698621,
5,IMDB,soft,0.9527914061430263,5.3632873225991556e-15
5,IMDB,biased,0.8924449925851322,
5,IMDB,soft,0.9472916590802334,1.637076216382842e-14
5,IMDB,biased,0.913801116215085,
5,IMDB,soft,0.9579485428032035,8.166215546494368e-17
5,IMDB,biased,0.9201921614416071,
5,IMDB,soft,0.9687630660021143,4.589220388226944e-16
5,IMDB,biased,0.9045366452698621,
5,IMDB,soft,0.9546458405689989,1.2984594852346856e-15
5,RealToxicityPrompts,biased,0.892929676932357,
5,RealToxicityPrompts,soft,0.9626261329242598,1.3948604154094684e-27
5,RealToxicityPrompts,biased,0.908254940407731,
5,RealToxicityPrompts,soft,0.973424558278307,2.70733050301672e-34
5,RealToxicityPrompts,biased,0.9060307105761363,
5,RealToxicityPrompts,soft,0.974228396812096,9.040915662287824e-33
5,RealToxicityPrompts,biased,0.9034882884223088,
5,RealToxicityPrompts,soft,0.9747548652530259,8.315532603758402e-32
5,XSum,biased,0.8875248479978606,
5,XSum,soft,0.959853794760047,2.602136837541043e-29
5,XSum,biased,0.909148421506793,
5,XSum,soft,0.9586323813578473,1.2843697110682805e-21
5,XSum,biased,0.9051692103179855,
5,XSum,soft,0.9613948292719378,2.660334322454542e-22
5,XSum,biased,0.9030248752580299,
5,XSum,soft,0.961759890385933,1.107689482144315e-25
5,CNN,biased,0.887352552313656,
5,CNN,soft,0.9596366722264329,2.9817486191609705e-26
5,CNN,biased,0.9093289421563022,
5,CNN,soft,0.9675143945034365,9.475786280822076e-24
5,CNN,biased,0.9036229530610362,
5,CNN,soft,0.9662423630599654,2.045452394243638e-24
5,CNN,biased,0.9016814707879408,
5,CNN,soft,0.9671228841890935,2.4393148010953757e-29
10,IMDB,biased,0.9021656887176887,
10,IMDB,soft,0.9674305964043598,1.3261492535019923e-17
10,IMDB,biased,0.9194642912946863,
10,IMDB,soft,0.9661115199318752,2.1822174195225737e-20
10,IMDB,biased,0.9225352943412151,
10,IMDB,soft,0.9662972600502143,2.5535226803786815e-12
10,IMDB,biased,0.9158963837822863,
10,IMDB,soft,0.9573165797875969,1.4286007472436456e-12
10,RealToxicityPrompts,biased,0.8803257639615775,
10,RealToxicityPrompts,soft,0.9544108019449129,1.965322633383993e-30
10,RealToxicityPrompts,biased,0.8987742669514341,
10,RealToxicityPrompts,soft,0.9542446058218061,6.98246087139949e-21
10,RealToxicityPrompts,biased,0.8958722973158953,
10,RealToxicityPrompts,soft,0.9678306094584307,1.401639841298279e-28
10,RealToxicityPrompts,biased,0.8928685923793058,
10,RealToxicityPrompts,soft,0.9538576038179896,1.5667553121127782e-26
10,XSum,biased,0.8992691884122367,
10,XSum,soft,0.9609981958517609,3.637568452418885e-21
10,XSum,biased,0.9188324625612762,
10,XSum,soft,0.965836209072164,5.53975211028532e-21
10,XSum,biased,0.9146436013651871,
10,XSum,soft,0.9699484667677754,1.587472227339047e-20
10,XSum,biased,0.9123588658233519,
10,XSum,soft,0.9739052833884017,4.059459603532128e-24
10,CNN,biased,0.8842501469022772,
10,CNN,soft,0.9588226217179303,1.03143042033736e-28
10,CNN,biased,0.9104002285549072,
10,CNN,soft,0.9672835678477606,6.1308792325662995e-27
10,CNN,biased,0.9031501746299038,
10,CNN,soft,0.9673407352635645,5.624970506992375e-26
10,CNN,biased,0.9034192255654011,
10,CNN,soft,0.9660574170507413,4.0910967231204124e-26
